RedFighter,BlueFighter,Winner
Ryan Spann,Bogdan Guskov,Blue
Ariane da Silva,Karine Silva,Blue
Austen Lane,Jhonata Diniz,Blue
Jonathan Pearce,David Onama,Blue
Tim Means,Uros Medic,Blue
Rani Yahya,Victor Henry,Blue
Austin Hubbard,Michal Figlak,Red
Don'Tale Mayes,Caio Machado,Red
Marnic Mann,Ketlen Souza,Blue
James Llontop,Chris Padilla,Blue
Ivana Petrovic,Liang Na,Red
Gabriel Benitez,Maheshate,Blue
Matheus Nicolau,Alex Perez,Blue
Ryan Spann,Bogdan Guskov,Blue
Ariane da Silva,Karine Silva,Blue
Austen Lane,Jhonata Diniz,Blue
Jonathan Pearce,David Onama,Blue
Tim Means,Uros Medic,Blue
Rani Yahya,Victor Henry,Blue
Austin Hubbard,Michal Figlak,Red
Don'Tale Mayes,Caio Machado,Red
Marnic Mann,Ketlen Souza,Blue
James Llontop,Chris Padilla,Blue
Ivana Petrovic,Liang Na,Red
Gabriel Benitez,Maheshate,Blue
Matheus Nicolau,Alex Perez,Blue
Ryan Spann,Bogdan Guskov,Blue
Ariane da Silva,Karine Silva,Blue
Austen Lane,Jhonata Diniz,Blue
Jonathan Pearce,David Onama,Blue
Tim Means,Uros Medic,Blue
Rani Yahya,Victor Henry,Blue
Austin Hubbard,Michal Figlak,Red
Don'Tale Mayes,Caio Machado,Red
Marnic Mann,Ketlen Souza,Blue
James Llontop,Chris Padilla,Blue
Ivana Petrovic,Liang Na,Red
Gabriel Benitez,Maheshate,Blue
Matheus Nicolau,Alex Perez,Blue
Ryan Spann,Bogdan Guskov,Blue
Ariane da Silva,Karine Silva,Blue
Austen Lane,Jhonata Diniz,Blue
Jonathan Pearce,David Onama,Blue
Tim Means,Uros Medic,Blue
Rani Yahya,Victor Henry,Blue
Austin Hubbard,Michal Figlak,Red
Don'Tale Mayes,Caio Machado,Red
Marnic Mann,Ketlen Souza,Blue
James Llontop,Chris Padilla,Blue
Ivana Petrovic,Liang Na,Red
Gabriel Benitez,Maheshate,Blue
Matheus Nicolau,Alex Perez,Blue
Ryan Spann,Bogdan Guskov,Blue
Ariane da Silva,Karine Silva,Blue
Austen Lane,Jhonata Diniz,Blue
Jonathan Pearce,David Onama,Blue
Tim Means,Uros Medic,Blue
Rani Yahya,Victor Henry,Blue
Austin Hubbard,Michal Figlak,Red
Don'Tale Mayes,Caio Machado,Red
Marnic Mann,Ketlen Souza,Blue
James Llontop,Chris Padilla,Blue
Ivana Petrovic,Liang Na,Red
Gabriel Benitez,Maheshate,Blue
Matheus Nicolau,Alex Perez,Blue
Ryan Spann,Bogdan Guskov,Blue
Ariane da Silva,Karine Silva,Blue
Austen Lane,Jhonata Diniz,Blue
Jonathan Pearce,David Onama,Blue
Tim Means,Uros Medic,Blue
Rani Yahya,Victor Henry,Blue
Austin Hubbard,Michal Figlak,Red
Don'Tale Mayes,Caio Machado,Red
Marnic Mann,Ketlen Souza,Blue
James Llontop,Chris Padilla,Blue
Ivana Petrovic,Liang Na,Red
Gabriel Benitez,Maheshate,Blue
Alex Pereira,Jamahal Hill,Red
Zhang Weili,Yan Xiaonan,Red
Justin Gaethje,Max Holloway,Blue
Charles Oliveira,Arman Tsarukyan,Blue
Bo Nickal,Cody Brundage,Red
Jiri Prochazka,Aleksandar Rakic,Red
Calvin Kattar,Aljamain Sterling,Blue
Holly Holm,Kayla Harrison,Blue
Sodiq Yusuff,Diego Lopes,Blue
Jalin Turner,Renato Moicano,Blue
Jessica Andrade,Marina Rodriguez,Red
King Green,Jim Miller,Red
Deiveson Figueiredo,Cody Garbrandt,Red
Alex Pereira,Jamahal Hill,Red
Zhang Weili,Yan Xiaonan,Red
Justin Gaethje,Max Holloway,Blue
Charles Oliveira,Arman Tsarukyan,Blue
Bo Nickal,Cody Brundage,Red
Jiri Prochazka,Aleksandar Rakic,Red
