RedFighter,BlueFighter,Winner
Davi Ramos,Arman Tsarukyan,Blue
Carlos Felipe,Serghei Spivac,Blue
Calvin Kattar,Dan Ige,Red
Tim Elliott,Ryan Benoit,Red
Jimmie Rivera,Cody Stamann,Red
Molly McCann,Taila Santos,Blue
Abdul Razak Alhassan,Mounir Lazzez,Blue
John Phillips,Khamzat Chimaev,Blue
Ricardo Ramos,Lerone Murphy,Blue
Modestas Bukauskas,Andreas Michailidis,Red
Jared Gordon,Chris Fishgold,Red
Diana Belbita,Liana Jojua,Blue
Jack Shore,Aaron Phillips,Red
Kamaru Usman,Jorge Masvidal,Red
Alexander Volkanovski,Max Holloway,Red
Petr Yan,Jose Aldo,Red
Jessica Andrade,Rose Namajunas,Blue
Amanda Ribas,Paige VanZant,Red
Volkan Oezdemir,Jiri Prochazka,Blue
Elizeu Zaleski dos Santos,Muslim Salikhov,Blue
Makwan Amirkhani,Danny Henry,Red
Leonardo Santos,Roman Bogatov,Red
Marcin Tybura,Maxim Grishin,Red
Raulian Paiva,Zhalgas Zhamagulov,Red
Karol Rosa,Vanessa Melo,Red
Martin Day,Davey Grant,Blue
Dustin Poirier,Dan Hooker,Red
Mike Perry,Mickey Gall,Red
Brendan Allen,Kyle Daukaus,Red
Gian Villante,Maurice Greene,Blue
Luis Pena,Khama Worthy,Blue
Mara Romero Borella,Miranda Maverick,Red
Philipe Lins,Tanner Boser,Blue
Sean Woodson,Julian Erosa,Blue
Takashi Sato,Jason Witt,Red
Kay Hansen,Jinh Yu Frey,Red
Jordan Griffin,Youssef Zalal,Blue
Curtis Blaydes,Alexander Volkov,Red
Josh Emmett,Shane Burgos,Red
Raquel Pennington,Marion Reneau,Red
Belal Muhammad,Lyman Good,Red
Jim Miller,Roosevelt Roberts,Red
Clay Guida,Bobby Green,Blue
Tecia Torres,Brianna Van Buren,Red
Marc-Andre Barriault,Oskar Piechota,Red
Cortney Casey,Gillian Robertson,Blue
Frank Camacho,Justin Jaynes,Blue
Roxanne Modafferi,Lauren Murphy,Blue
Austin Hubbard,Max Rohskopf,Red
Jessica Eye,Cynthia Calvillo,Blue
Karl Roberson,Marvin Vettori,Blue
Charles Rosa,Kevin Aguilar,Red
Andre Fili,Charles Jourdain,Red
Jordan Espinosa,Mark De La Rosa,Red
Mariya Agapova,Hannah Cifers,Red
Merab Dvalishvili,Gustavo Lopez,Red
Julia Avila,Gina Mazany,Red
Tyson Nam,Zarrukh Adashev,Red
Anthony Ivy,Christian Aguilera,Blue
Amanda Nunes,Felicia Spencer,Red
Raphael Assuncao,Cody Garbrandt,Blue
Aljamain Sterling,Cory Sandhagen,Red
Neil Magny,Anthony Rocco Martin,Red
Eddie Wineland,Sean O'Malley,Blue
Alex Caceres,Chase Hooper,Red
Ian Heinisch,Gerald Meerschaert,Red
Cody Stamann,Brian Kelleher,Red
Charles Byrd,Maki Pitolo,Blue
Jussier Formiga,Alex Perez,Blue
Alonzo Menifield,Devin Clark,Blue
Evan Dunham,Herbert Burns,Blue
Tyron Woodley,Gilbert Burns,Blue
Blagoy Ivanov,Augusto Sakai,Blue
Billy Quarantillo,Spike Carlyle,Red
Roosevelt Roberts,Brok Weaver,Red
Mackenzie Dern,Hannah Cifers,Red
Katlyn Chookagian,Antonina Shevchenko,Red
Daniel Rodriguez,Gabe Green,Red
Jamahal Hill,Klidson Abreu,Red
Tim Elliott,Brandon Royval,Blue
Louis Smolka,Casey Kenney,Blue
Chris Gutierrez,Vince Morales,Red
Alistair Overeem,Walt Harris,Red
Claudia Gadelha,Angela Hill,Red
Dan Ige,Edson Barboza,Red
Krzysztof Jotko,Eryk Anders,Red
Song Yadong,Marlon Vera,Red
Miguel Baeza,Matt Brown,Red
Kevin Holland,Anthony Hernandez,Red
Giga Chikadze,Irwin Rivera,Red
Nate Landwehr,Darren Elkins,Red
Cortney Casey,Mara Romero Borella,Red
Rodrigo Nascimento,Don'Tale Mayes,Red
Anthony Smith,Glover Teixeira,Blue
Ben Rothwell,Ovince Saint Preux,Red
Alexander Hernandez,Drew Dober,Blue
Ricky Simon,Ray Borg,Red
Andrei Arlovski,Philipe Lins,Red
Michael Johnson,Thiago Moises,Blue
Sijara Eubanks,Sarah Moras,Red
Gabriel Benitez,Omar Morales,Blue
Hunter Azure,Brian Kelleher,Blue
Chase Sherman,Ike Villanueva,Red
Vicente Luque,Niko Price,Red
Bryce Mitchell,Charles Rosa,Red
Ryan Spann,Sam Alvey,Red
Anthony Pettis,Donald Cerrone,Red
Aleksei Oleinik,Fabricio Werdum,Red
Carla Esparza,Michelle Waterson,Red
Uriah Hall,Jacare Souza,Red
Tony Ferguson,Justin Gaethje,Blue
Henry Cejudo,Dominick Cruz,Red
Francis Ngannou,Jairzinho Rozenstruik,Red
Jeremy Stephens,Calvin Kattar,Blue
Greg Hardy,Yorgan De Castro,Red
Kevin Lee,Charles Oliveira,Blue
Demian Maia,Gilbert Burns,Blue
Renato Moicano,Damir Hadzovic,Red
Johnny Walker,Nikita Krylov,Blue
Francisco Trinaldo,John Makdessi,Red
Jussier Formiga,Brandon Moreno,Blue
Amanda Ribas,Randa Markos,Red
Elizeu Dos Santos,Aleksei Kunchenko,Red
Mayra Bueno Silva,Maryna Moroz,Blue
Bruno Silva,David Dvorak,Blue
Veronica Macedo,Bea Malecki,Blue
Israel Adesanya,Yoel Romero,Red
Weili Zhang,Joanna Jedrzejczyk,Red
Beneil Dariush,Drakkar Klose,Red
Neil Magny,Li Jingliang,Red
Alex Oliveira,Max Griffin,Red
Sean O'Malley,Jose Quinonez,Red
Mark Madsen,Austin Hubbard,Red
Rodolfo Vieira,Saparbeg Safarov,Red
Gerald Meerschaert,Deron Winn,Red
Jamall Emmers,Giga Chikadze,Blue
Danaa Batgerel,Guido Cannetti,Red
Joseph Benavidez,Deiveson Figueiredo,Blue
Felicia Spencer,Zarah Fairn,Red
Ion Cutelaba,Magomed Ankalaev,Blue
Megan Anderson,Norma Dumont,Red
Grant Dawson,Darrick Minner,Red
Gabriel Silva,Kyler Phillips,Blue
Brendan Allen,Tom Breese,Red
Luis Pena,Steve Garcia,Red
Marcin Tybura,Serghei Spivac,Red
Jordan Griffin,TJ Brown,Red
Aalon Cruz,Spike Carlyle,Blue
Sean Brady,Ismail Naurdiev,Red
Paul Felder,Dan Hooker,Blue
Jim Crute,Michal Oleksiejczuk,Red
Karolina Kowalkiewicz,Yan Xiaonan,Blue
Ben Sosoli,Marcos Rogerio De Lima,Blue
Brad Riddell,Magomed Mustafaev,Red
Kevin Aguilar,Zubaira Tukhugov,Blue
Jalin Turner,Joshua Culibao,Red
Jake Matthews,Emil Meek,Red
Callan Potter,Song Kenan,Blue
Kai Kara France,Tyson Nam,Red
Loma Lookboonmee,Angela Hill,Blue
Priscila Cachoeira,Shana Dobson,Red
Corey Anderson,Jan Blachowicz,Blue
Diego Sanchez,Michel Pereira,Red
Montana De La Rosa,Mara Romero Borella,Red
Brok Weaver,Kazula Vargas,Red
Rogerio Bontorin,Ray Borg,Blue
Lando Vannata,Yancy Medeiros,Red
Tim Means,Daniel Rodriguez,Blue
John Dodson,Nathaniel Wood,Red
Jim Miller,Scott Holtzman,Blue
Devin Clark,Dequan Townsend,Red
Casey Kenney,Merab Dvalishvili,Blue
Macy Chiasson,Shanna Young,Red
Mark De La Rosa,Raulian Paiva,Blue
Jon Jones,Dominick Reyes,Red
Valentina Shevchenko,Katlyn Chookagian,Red
Juan Adams,Justin Tafa,Blue
Mirsad Bektic,Dan Ige,Blue
Derrick Lewis,Ilir Latifi,Red
Trevin Giles,James Krause,Red
Alex Morono,Kalinn Williams,Blue
Lauren Murphy,Andrea Lee,Red
Miles Johns,Mario Bautista,Blue
Domingo Pilarte,Journey Newson,Blue
Andre Ewell,Jonathan Martinez,Red
Austin Lingo,Youssef Zalel,Blue
Curtis Blaydes,Junior Dos Santos,Red
Rafael Dos Anjos,Michael Chiesa,Blue
Jordan Espinosa,Alex Perez,Blue
Hannah Cifers,Angela Hill,Blue
Jamahal Hill,Darko Stosic,Red
Bevon Lewis,Dequan Townsend,Red
Arnold Allen,Nik Lentz,Red
Justine Kish,Luci Pudilova,Red
Montel Jackson,Felipe Colares,Red
Sara McMann,Lina Lansberg,Red
Brett Johns,Tony Gravely,Red
Herbert Burns,Nate Landwehr,Red
Conor McGregor,Donald Cerrone,Red
Holly Holm,Raquel Pennington,Red
Aleksei Oleinik,Maurice Greene,Red
Anthony Pettis,Diego Ferreira,Blue
Roxanne Modafferi,Maycee Barber,Red
Andre Fili,Sodiq Yusuff,Blue
Drew Dober,Nasrat Haqparast,Red
Aleksa Camur,Justin Ledet,Red
Tim Elliott,Askar Askarov,Blue
Brian Kelleher,Ode Obsourne,Red
Sabina Mazo,JJ Aldrich,Red
Frankie Edgar,Chan Sung Jung,Blue
Volkan Oezdemir,Aleksandar Rakic,Red
Dooho Choi,Charles Jourdain,Blue
Da Un Jung,Mike Rodriguez,Red
 Jun Yong Park,Marc-Andre Barriault,Red
Kyung Ho Kang,Liu Pingyuan,Red
Ciryl Gane,Tanner Boser,Red
Seungwoo Choi,Suman Mokhtarian,Red
Dong Hyun Ma,Omar Antonio Morales Ferrer,Blue
Alexandre Pantoja,Matt Schnell,Red
Raoni Barcelos,Said Nurmagomedov,Red
Miranda Granger,Amanda Lemos,Blue
Heili Alateng,Ryan Benoit,Red
Kamaru Usman,Colby Covington,Red
Max Holloway,Alexander Volkanovski,Blue
Amanda Nunes,Germaine de Randamie,Red
Marlon Moraes,Jose Aldo,Red
Peter Yan,Urijah Faber,Red
Geoff Neal,Mike Perry,Red
Ketlen Vieira,Irene Aldana,Blue
Ian Heinisch,Omari Akhmedov,Blue
Matt Brown,Ben Saunders,Red
Chase Hooper,Daniel Teymur,Red
Brandon Moreno,Kai Kara France,Red
Jessica Eye,Viviane Araujo,Red
Punahele Soriano,Oskar Piechota,Red
Alistair Overeem,Jairzinho Rozenstruik,Blue
Stefan Struve,Ben Rothwell,Blue
Aspen Ladd,Yana Kunitskaya,Red
Rob Font,Ricky Simon,Red
Thiago Alves,Tim Means,Blue
Billy Quarantillo,Jacob Kilburn,Red
Bryce Mitchell,Matt Sayles,Red
Joe Solecki,Matt Wiman,Red
Mallory Martin,Virna Jandiroba,Red
Makhmud Muradov,Trevor Smith,Red
Jan Blachowicz,Jacare Souza,Red
Charles Oliveira,Jared Gordon,Red
Antonio Arroyo,Andre Muniz,Blue
Markus Perez,Wellington Turman,Blue
Sergio Moraes,James Krause,Blue
Ricardo Ramos,Eduardo Garagorri,Red
Francisco Trinaldo,Bobby Green,Red
Warlley Alves,Randy Brown,Blue
Douglas Silva de Andrade,Renan Barao,Red
Ariane Lipski,Isabela De Pauda,Red
Vanessa Melo,Tracy Cortez,Blue
Zabit Magomedsharipov,Calvin Kattar,Red
Alekander Volkov,Greg Hardy,Red
Zelim Imadaev,Danny Roberts,Blue
Khadis Ibragimov,Ed Herman,Blue
Ramazan Emeev,Rocco Martin,Blue
Shamil Gamzatov,Klidson Abreu,Red
Magomed Ankalaev,Dalcha Lungiambula,Red
Rustam Khabilov,Sergey Khandozhko,Red
Roman Kopylov,Karl Roberson,Blue
Abubakar Nurmagomedov,David Zawada,Blue
Alexander Yakovlev,Roosevelt Roberts,Blue
Jessica-Rose Clark,Pannie Kianzad,Blue
Grigorii Popov,Davey Grant,Blue
Jorge Masvidal,Nate Diaz,Red
Kelvin Gastelum,Darren Till,Blue
Stephen Thompson,Vicente Luque,Red
Derrick Lewis,Blagoy Ivanov,Red
Kevin Lee,Gregor Gillespie,Red
Corey Anderson,Johnny Walker,Red
Shane Burgos,Makwan Amirkhani,Red
Brad Tavares,Edmen Shahbazyan,Blue
Andrei Arlovski,Jairzinho Rozenstruik,Blue
Katlyn Chookagian,Jennifer Maia,Red
Lyman Good,Chance Rencountre,Red
Julio Arce,Hakeem Dawodu,Blue
Demian Maia,Ben Askren,Red
Michael Johnson,Stevie Ray,Blue
Frank Camacho,Beneil Dariush,Blue
Ciryl Gane,Don'tale Mayes,Red
Muslim Salikhov,Laureano Staropoli,Red
Randa Markos,Ashley Yoder,Red
Alex White,Rafael Fiziev,Blue
Enrique Barzola,Movsar Evloev,Blue
Maurice Greene,Sergei Pavlovich,Blue
Loma Lookboonmee,Alexandra Albu,Red
Raphael Pessoa Nunes,Jeff Hughes,Red
Yair Rodriguez,Jeremy Stephens,Red
Dominick Reyes,Chris Weidman,Red
Joe Lauzon,Jonathan Pearce,Red
Maycee Barber,Gillian Robertson,Red
Deron Winn,Darren Stewart,Blue
Charles Rosa,Manny Bermudez,Red
Molly McCann,Diana Belbita,Red
Kyle Bochniak,Sean Woodson,Blue
Randy Costa,Boston Salmon,Red
Court McGee,Sean Brady,Blue
Brendan Allen,Kevin Holland,Red
Daniel Spitz,Tanner Boser,Blue
Joanna Jedrzejczyk,Michelle Waterson,Red
Cub Swanson,Kron Gracie,Red
Niko Price,James Vick,Red
Mackenzie Dern,Amanda Ribas,Blue
Matt Frevola,Luis Pena,Red
Eryk Anders,Gerald Meerschaert,Red
Ryan Spann,Devin Clark,Red
Mike Davis,Thomas Gifford,Red
Max Griffin,Alex Morono,Blue
Deiveson Figueiredo,Tim Elliott,Red
Marlon Vera,Andre Ewell,Red
Miguel Baeza,Hector Aldana,Red
Marvin Vettori,Andrew Sanchez,Red
JJ Aldrich,Lauren Mueller,Red
Robert Whittaker,Israel Adesanya,Blue
Al Iaquinta,Dan Hooker,Blue
Tai Tuivasa,Serghei Spivac,Blue
Luke Jumeau,Dhiego Lima,Blue
Justin Tafa,Yorgan De Castro,Blue
Jake Matthews,Rostem Akman,Red
Callan Potter,Maki Pitolo,Red
Brad Riddell,Jamie Mullarkey,Red
Megan Anderson,Zarah Fairn,Red
Nadia Kassem,Ji Yeon Kim,Blue
Khalid Taha,Bruno Silva,Red
Jack Hermansson,Jared Cannonier,Blue
Mark Madsen,Danilo Belluardo,Red
Gunnar Nelson,Gilbert Burns,Blue
Ion Cutelaba,Khalil Rountree Jr.,Red
Michal Oleksiejczuk,Ovince Saint Preux,Blue
Nicolas Dalby,Alex Oliveira,Red
Alen Amedovski,John Phillips,Blue
Alessio Di Chirico,Makhmud Muradov,Blue
Siyar Bahadurzada,Ismail Naurdiev,Blue
Brandon Davis,Giga Chikadze,Blue
Macy Chiasson,Lina Lansberg,Blue
Marc Diakiese,Lando Vannata,Red
Jack Shore,Nohelin Hernandez,Red
Carla Esparza,Alexa Grasso,Red
Irene Aldana,Vanessa Melo,Red
Martin Bravo,Steven Peterson,Blue
Jose Quinonez,Carlos Huachin,Red
Marco Polo Reyes,Kyle Nelson,Blue
Ariane Carnelossi,Angela Hill,Blue
Sergio Pettis,Tyson Nam,Red
Vinicius Moreira,Paul Craig,Blue
Sijara Eubanks,Bethe Correia,Blue
Caludio Puelles,Marcos Mariano,Red
Donald Cerrone,Justin Gaethje,Blue
Glover Teixeira,Nikita Krylov,Red
Michel Pereira,Tristan Connelly,Blue
Uriah Hall,Antonio Carlos Junior,Red
Misha Cirkunov,Jimmy Crute,Red
Marcin Tybura,Augusto Sakai,Blue
Cole Smith,Miles Johns,Blue
Brad Katona,Hunter Azure,Blue
Chas Skelly,Jordan Griffin,Red
Louis Smolka,Ryan MacDonald,Red
Kyle Prepolec,Austin Hubbard,Blue
Khabib Nurmagomedov,Dustin Poirier,Red
Edson Barboza,Paul Felder,Blue
Islam Makhachev,Davi Ramos,Red
Curtis Blaydes,Shamil Abdurakhimov,Red
Mairbek Taisumov,Diego Ferreira,Blue
Joanne Calderwood,Andrea Lee,Red
Liana Jojua,Sarah Moras,Blue
Ottman Azaitar,Teemu Packalen,Red
Belal Muhammad,Takashi Sato,Red
Nordine Taleb,Muslim Salikhov,Blue
Omari Akhmedov,Zak Cummings,Red
Don Madge,Fares Ziam,Red
Jessica Andrade,Zhang Weili,Blue
Li Jingliang,Elizeu Dos Santos,Red
Kai Kara-France,Mark De La Rosa,Red
Song Kenan,Derrick,Red
Wu Yanan,Mizuki Inoue,Blue
Junyong Park,Anthony Hernandez,Blue
Su Mudaerji,Andre Soukhamthath,Red
Da Un Jung,Khadis Ibragimov,Red
Damir Ismagulov,Thiago Moises,Red
Heili Alateng,Danaa Batgerel,Red
Karol Rosa,Lara Procopio,Red
Daniel Cormier,Stipe Miocic,Blue
Anthony Pettis,Nate Diaz,Blue
Yoel Romero,Paulo Costa,Blue
Gabriel Benitez,Sodiq Yusuff,Blue
Derek Brunson,Ian Heinisch,Red
Devonte Smith,Khama Worthy,Blue
Raphael Assuncao,Cory Sandhagen,Blue
Christos Giagos,Drakkar Klose,Blue
Manny Bermudez,Casey Kenney,Blue
Hannah Cifers,Jodie Esquibel,Red
Kyung Ho Kang,Brandon Davis,Red
Sabina Mazo,Shana Dobson,Red
Valentina Shevchenko,Liz Carmouche,Red
Vincente Luque,Mike Perry,Red
Luiz Garagorri,Humberto Bandenay,Red
Volkan Oezdemir,Ilir Latifi,Red
Rodolfo Vieira,Oskar Piechota,Red
Enrique Barzola,Bobby Moffett,Red
Gilbert Burns,Aleksei Kunchenko,Red
Ciryl Gane,Raphael Pessoa Nunes,Red
Tecia Torres,Marina Rodriguez,Blue
Rogerio Bontorin,Raulian Paiva,Red
Geraldo de Freitas,Chris Gutierrez,Blue
Kazula Vargas,Alex Da Silva,Blue
Veronica Macedo,Polyana Viana,Red
Colby Covington,Robbie Lawler,Red
Jim Miller,Clay Guida,Red
Joaquim Silva,Nasrat Haqparast,Blue
Trevin Giles,Gerald Meerschaert,Blue
Scott Holtzman,Dong Hyun Ma,Red
Darko Stosic,Kennedy Nzechukwu,Blue
Mickey Gall,Salim Touahri,Red
Antonina Shevchenko,Lucie Pudilova,Red
Jordan Espinosa,Matt Schnell,Blue
Lauren Murphy,Mara Romero Borella,Red
Claudio Silva,Cole Williams,Red
Miranda Granger,Hannah Goldy,Red
Max Holloway,Frankie Edgar,Red
Cris Cyborg,Felicia Spencer,Red
Geoff Neal,Niko Price,Red
Olivier Aubin-Mercier,Arman Tsarukyan,Blue
Marc-Andre Barriault,Krzystof Jotko,Blue
Alexis Davis,Viviane Araujo,Blue
Hakeem Dawodu,Yoshinori Horie,Red
Gavin Tucker,Seungwoo Choi,Red
Alexandre Pantoja,Deiveson Figueiredo,Blue
Gillian Robertson,Sarah Frota,Red
Erik Koch,Kyle Stewart,Red
Rafael Dos Anjos,Leon Edwards,Blue
Aleksei Oleinik,Walt Harris,Blue
Greg Hardy,Juan Adams,Red
James Vick,Dan Hooker,Blue
Alexander Hernandez,Francisco Trinaldo,Red
Andrei Arlovski,Ben Rothwell,Red
Alex Caceres,Steven Peterson,Red
Raquel Pennington,Irene Aldana,Red
Sam Alvey,Klidson Abreu,Blue
Roxanne Modafferi,Jennifer Maia,Blue
Ray Borg,Gabriel Silva,Red
Mario Bautista,Jin Soo Son,Red
Domingo Pilarte,Felipe Colares,Blue
Germaine De Randamie,Aspen Ladd,Red
Urijah Faber,Ricky Simon,Red
Josh Emmett,Mirsad Bektic,Red
Karl Roberson,Wellington Turman,Red
Marvin Vettori,Cezar Ferreira,Red
Andre Fili,Sheymon Moraes,Red
Julianna Pena,Nicco Montano,Red
Darren Elkins,Ryan Hall,Blue
Liu Pingyuan,Jonathan Martinez,Blue
Livinha Souza,Brianna Van Buren,Blue
Benito Lopez,Vince Morales,Red
Jon Jones,Thiago Santos,Red
Amanda Nunes,Holly Holm,Red
Jorge Masvidal,Ben Askren,Red
Jan Blachowicz,Luke Rockhold,Red
Diego Sanchez,Michael Chiesa,Blue
Gilbert Melendez,Arnold Allen,Blue
Marlon Vera,Nohelin Hernandez,Red
Caludia Gadelha,Randa Markos,Red
Alejandro Perez,Song Yadong,Blue
Edmen Shahbazyan,Jack Marshman,Red
Ismail Naurdiev,Chance Rencountre,Blue
Julia Avila,Pannie Kianzad,Red
Francis Ngannou,Junior Dos Santos,Red
Jussier Formiga,Joseph Benavidez,Blue
Demian Maia,Rocco Martin,Red
Roosevelt Roberts,Vinc Pichel,Blue
Drew Dober,Marco Polo Reyes,Red
Alonzo Menifield,Paul Craig,Red
Ricardo Ramos,Journey Newson,Red
Eryk Anders,Vinicius Moreira,Red
Jared Gordon,Dan Moret,Red
Dalcha Lungiambula,Dequan Townsend,Red
Emily Whitmire,Amanda Ribas,Blue
Maurice Greene,Junior Albini,Red
Renato Moicano,Chan Sung Jung,Blue
Bryan Barberena,Randy Brown,Blue
Andre Ewell,Anderson Dos Santos,Red
Andrea Lee,Montana De La Rosa,Red
Kevin Holland,Alessio Di Chirico,Red
Dan Ige,Kevin Aguilar,Red
Ashley Yoder,Syuri Kondo,Red
Matt Wiman,Luis Pena,Blue
Allen Crowder,Jairzinho Rozenstruik,Blue
Ariane Lipski,Molly McCann,Blue
Deron Winn,Eric Spicely,Red
Henry Cejudo,Marlon Moraes,Red
Valentina Shevchenko,Jessica Eye,Red
Tony Ferguson,Donald Cerrone,Red
Jimmie Rivera,Petr Yan,Blue
Tai Tuivasa,Blagoy Ivanov,Blue
Tatiana Suarez,Nina Ansaroff,Red
Aljamain Sterling,Pedro Munhoz,Red
Karolina Kowalkiewicz,Alexa Grasso,Blue
Ricardo Lamas,Calvin Kattar,Blue
Yan Xiaonan,Angela Hill,Red
Bevon Lewis,Darren Stewart,Blue
Eddie Wineland,Grigorii Popov,Red
Katlyn Chookagian,Joanne Calderwood,Red
Alexander Gustafsson,Anthony Smith,Blue
Jimi Manuwa,Aleksandar Rakic,Blue
Makwan Amirkhani,Chris Fishgold,Red
Damir Hadzovic,Christos Giagos,Blue
Daniel Teymur,Sung Bin Jo,Red
Rostem Akman,Sergey Khandozhko,Blue
Tonya Evinger,Lina Lansberg,Blue
Stevie Ray,Leonardo Santos,Blue
Nick Hein,Frank Camacho,Blue
Bea Malecki,Duda Santana,Red
Darko Stosic,Devin Clark,Blue
Joel Alvarez,Danilo Belluardo,Red
Rafael Dos Anjos,Kevin Lee,Red
Antonio Carlos Junior,Ian Heinisch,Blue
Megan Anderson,Felicia Spencer,Blue
Vicente Luque,Derrick Krantz,Red
Charles Oliveira,Nik Lentz,Red
Davi Ramos,Austin Hubbard,Red
Aspen Ladd,Sijara Eubanks,Red
Desmond Green,Charles Jourdain,Red
Danny Roberts,Michel Pereira,Blue
Michael Trizano,Grant Dawson,Blue
Patrick Cummins,Ed Herman,Blue
Zak Cummings,Trevin Giles,Red
Julio Arce,Julian Erosa,Red
Rose Namajunas,Jessica Andrade,Blue
Jared Cannonier,Anderson Silva,Red
Jose Aldo,Alexander Volkanovski,Blue
Thiago Alves,Laureano Staropoli,Blue
Irene Aldana,Bethe Correia,Red
Rogerio Nogueira,Ryan Spann,Blue
Thiago Moises,Kurt Holobaugh,Red
Warlley Alves,Sergio Moraes,Red
BJ Penn,Clay Guida,Blue
Luana Carolina,Priscila Cachoeira,Red
Raoni Barcelos,Carlos Huachin,Red
Talita Bernardo,Viviane Araujo,Blue
Al Iaquinta,Donald Cerrone,Blue
Derek Brunson,Elias Theodorou,Red
Cub Swanson,Shane Burgos,Blue
Brad Katona,Merab Dvalishvili,Blue
Walt Harris,Serghei Spivac,Red
Marc-Andre Barriault,Andrew Sanchez,Blue
Macy Chiasson,Sarah Moras,Red
Aiemann Zahabi,Vince Morales,Blue
Nordine Taleb,Kyle Prepolec,Red
Kyle Nelson,Matt Sayles,Blue
Arjan Bhullar,Juan Adams,Red
Mitch Gagnon,Cole Smith,Blue
Jacare Souza,Jack Hermansson,Blue
Greg Hardy,Dmitrii Smoliakov,Red
Alex Oliveira,Mike Perry,Blue
Glover Teixeira,Ion Cutelaba,Red
John Lineker,Cory Sandhagen,Blue
Roosevelt Roberts,Thomas Gifford,Red
Ben Saunders,Takashi Sato,Blue
Andrei Arlovski,Augusto Sakai,Blue
Carla Esparza,Virna Jandiroba,Red
Gilbert Burns,Mike Davis,Red
Jim Miller,Jason Gonzalez,Red
Angela Hill,Jodie Esquibel,Red
Court McGee,Dhiego Lima,Blue
Alistair Overeem,Aleksei Oleinik,Red
Islam Makhachev,Arman Tsarukyan,Red
Sergei Pavlovich,Marcelo Golm,Red
Roxanne Modafferi,Antonina Shevchenko,Red
Krzysztof Jotko,Alen Amedovski,Red
Movsar Evloev,Seungwoo Choi,Red
Sultan Aliev,Keita Nakamura,Red
Alexander Yakovlev,Alex Da Silva,Red
Marcin Tybura,Shamil Abdurakhimov,Blue
Gadzhimurad Antigulov,Michal Oleksiejczuk,Blue
Magomed Mustafaev,Rafael Fiziev,Red
Max Holloway,Dustin Poirier,Blue
Kelvin Gastelum,Israel Adesanya,Blue
Eryk Anders,Khalil Rountree Jr.,Blue
Alan Jouban,Dwight Grant,Blue
Ovince Saint Preux,Nikita Krylov,Blue
Jalin Turner,Matt Frevola,Blue
Wilson Reis,Alexandre Pantoja,Blue
Max Griffin,Zelim Imadaev,Red
Boston Salmon,Khalid Taha,Blue
Curtis Millender,Belal Muhammad,Blue
Montel Jackson,Andre Soukhamthath,Red
Lauren Mueller,Poliana Botelho,Blue
Brandon Davis,Randy Costa,Red
Edson Barboza,Justin Gaethje,Blue
David Branch,Jack Hermansson,Blue
Josh Emmett,Michael Johnson,Red
Karolina Kowalkiewicz,Michelle Waterson,Blue
Kennedy Nzechukwu,Paul Craig,Blue
Sodiq Yusuff,Sheymon Moraes,Red
Marina Rodriguez,Jessica Aguilar,Red
Ross Pearson,Desmond Green,Blue
Enrique Barzola,Kevin Aguilar,Blue
Kevin Holland,Gerald Meerschaert,Red
Ray Borg,Casey Kenney,Blue
Sabina Mazo,Maryna Moroz,Blue
Alex Perez,Mark De La Rosa,Red
Stephen Thompson,Anthony Pettis,Blue
Curtis Blaydes,Justin Willis,Red
John Makdessi,Jesus Pinedo,Red
Jussier Formiga,Deiveson Figueiredo,Red
Luis Pena,Steven Peterson,Red
Maycee Barber,JJ Aldrich,Red
Bryce Mitchell,Bobby Moffett,Red
Marlon Vera,Frankie Saenz,Red
Alexis Davis,Jennifer Maia,Blue
Randa Markos,Angela Hill,Red
Ryan MacDonald,Chris Gutierrez,Blue
Eric Shelton,Jordan Espinosa,Blue
Darren Till,Jorge Masvidal,Blue
Leon Edwards,Gunnar Nelson,Red
Volkan Oezdemir,Dominick Reyes,Blue
Nathaniel Wood,Jose Quinonez,Red
Danny Roberts,Claudio Silva,Blue
Jack Marshman,John Phillips,Red
Arnold Allen,Jordan Rinaldi,Red
Marc Diakiese,Joe Duffy,Red
Nicolae Negumereanu,Saparbeg Safarov,Blue
Danny Henry,Dan Ige,Blue
Molly McCann,Priscila Cachoeira,Red
Mike Grundy,Nad Narimani,Red
Derrick Lewis,Junior Dos Santos,Blue
Elizeu Zaleski dos Santos,Curtis Millender,Red
Tim Means,Niko Price,Blue
Blagoy Ivanov,Ben Rothwell,Red
Beneil Dariush,Drew Dober,Red
Tim Boetsch,Omari Akhmedov,Blue
Anthony Rocco Martin,Sergio Moraes,Red
Marion Reneau,Yana Kunitskaya,Blue
Grant Dawson,Julian Erosa,Red
Maurice Greene,Jeff Hughes,Red
Louis Smolka,Matt Schnell,Blue
Alex Morono,Zak Ottow,Red
Alex White,Dan Moret,Red
Jon Jones,Anthony Smith,Red
Tyron Woodley,Kamaru Usman,Blue
Robbie Lawler,Ben Askren,Blue
Tecia Torres,Weili Zhang,Blue
Cody Garbrandt,Pedro Munhoz,Blue
Jeremy Stephens,Zabit Magomedsharipov,Blue
Misha Cirkunov,Johnny Walker,Blue
Cody Stamann,Alejandro Perez,Red
Diego Sanchez,Mickey Gall,Red
Edmen Shahbazyan,Charles Byrd,Red
Gina Mazany,Macy Chiasson,Blue
Polyana Viana,Hannah Cifers,Blue
Jan Blachowicz,Thiago Santos,Blue
Stefan Struve,Marcos Rogerio de Lima,Red
